image_name,target
ISIC_0052060,0.014843085408210754
ISIC_0052349,0.009791341423988341
ISIC_0058510,0.006254381979812251
ISIC_0073313,0.0010205715918000194
ISIC_0073502,0.02313821017742157
ISIC_0074618,0.02029782235622406
ISIC_0076801,0.013382121920585632
ISIC_0077586,0.02519121766090393
ISIC_0082004,0.039791598916053765
ISIC_0082785,0.03061917722225189
ISIC_0085332,0.007040745019912719
ISIC_0087243,0.0048727869987487795
ISIC_0088167,0.023210057616233827
ISIC_0089356,9.431540966033935e-05
ISIC_0090283,0.018586206436157226
ISIC_0092481,0.004789826273918152
ISIC_0095455,0.01904900372028351
ISIC_0095790,0.008095192909240722
ISIC_0097719,0.05512596666812897
ISIC_0099348,0.04003745019435882
ISIC_0101040,0.03163119256496429
ISIC_0101383,0.028136095404624938
ISIC_0105104,0.03738338649272918
ISIC_0108196,0.014832204580307007
ISIC_0112420,0.020881247520446775
ISIC_0114232,0.000161675161408803
ISIC_0115798,0.002999454391101608
ISIC_0116844,0.00018458069927793433
ISIC_0126432,0.007601192593574524
ISIC_0131485,0.0008342873516085092
ISIC_0131912,0.005461371953424532
ISIC_0131978,9.072129750244961e-05
ISIC_0139322,0.029853978753089906
ISIC_0142066,0.04340547323226929
ISIC_0143109,0.04617097377777099
ISIC_0148210,0.021180742979049684
ISIC_0148937,0.011743515729904175
ISIC_0150213,0.03586229681968689
ISIC_0152553,0.014944955706596375
ISIC_0153127,0.013820582628250122
ISIC_0154289,0.016930389404296874
ISIC_0155813,0.058198928833007806
ISIC_0155983,0.045655408501625055
ISIC_0157088,0.014508649706840515
ISIC_0158761,0.005131226778030395
ISIC_0161963,0.053554791212081905
ISIC_0165178,0.02703811526298523
ISIC_0165230,0.030838975310325624
ISIC_0165615,0.011872725371179626
ISIC_0165617,0.03249499797821045
ISIC_0165674,0.004333085526559444
ISIC_0165928,0.0317026287317276
ISIC_0166561,0.006514233298821636
ISIC_0168125,0.03506098687648773
ISIC_0169378,0.016275617480278014
ISIC_0169575,0.007537364959716797
ISIC_0169906,0.06744923293590546
ISIC_0171865,0.03145509660243988
ISIC_0172678,0.01272517019751831
ISIC_0174800,0.016848251223564148
ISIC_0175014,0.018487778306007382
ISIC_0175798,0.09297851622104644
ISIC_0176152,0.024260312318801876
ISIC_0177083,0.01781998872756958
ISIC_0178235,0.041014489531517026
ISIC_0178258,0.02339322566986084
ISIC_0178428,0.03227164149284363
ISIC_0178741,0.04091529250144958
ISIC_0180057,0.017599868774414062
ISIC_0182213,0.05399455726146698
ISIC_0183334,0.0037502020614149636
ISIC_0183449,0.03061527907848358
ISIC_0183658,0.005087372660636902
ISIC_0183771,0.006972303986549377
ISIC_0186715,0.06038104891777039
ISIC_0187786,0.0026918110650763437
ISIC_0188485,0.03382207453250885
ISIC_0191895,0.0190637469291687
ISIC_0192184,0.020372834801673886
ISIC_0192807,0.010100975632667542
ISIC_0193289,0.021766537427902223
ISIC_0194115,0.0025390957837771564
ISIC_0195744,0.0193217933177948
ISIC_0195995,0.009940320253372192
ISIC_0196159,0.02250450253486633
ISIC_0196622,0.019345611333847042
ISIC_0196807,0.030359575152397157
ISIC_0197182,0.027991130948066708
ISIC_0197440,0.021821299195289613
ISIC_0197860,0.020824018120765685
ISIC_0198376,0.012364974617958067
ISIC_0198622,0.006858066471340862
ISIC_0199195,0.019818001985549928
ISIC_0199718,0.007557883858680724
ISIC_0199780,0.011278724670410157
ISIC_0200120,0.0556106686592102
ISIC_0204399,0.010171884298324585
ISIC_0204875,0.007007592916488647
ISIC_0205627,0.007263734936714172
ISIC_0206261,0.02736940383911133
ISIC_0206934,0.04948830306529999
ISIC_0207197,0.017881286144256592
